#      xpix        ypix        flux     vel_pix    disp_pix
    -1.0127     -1.9999      1.9448     53.2158    190.1503
    -0.5127     -1.9999      2.1149     43.1749    192.1130
    -0.0127     -1.9999      2.2075     23.5492    199.0954
     0.4873     -1.9999      2.2007      9.6150    198.3717
     0.9873     -1.9999      1.9024     -9.9647    197.6054
     1.4873     -1.9999      1.6284    -21.2871    193.9992
     1.9873     -1.9999      1.2865    -32.1443    181.8684
     2.4873     -1.9999      1.0953    -41.5362    175.8221
     2.9873     -1.9999      0.9084    -48.9022    168.4058
     3.4873     -1.9999      0.7330    -63.8950    159.7108
     3.9873     -1.9999      0.6494    -75.9748    154.7185
